County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,"",""
Albany,720644,Store,JAC,SPEEDWAY LLC,SPEEDWAY #07708,601,SARATOGA ST,\"\",\"\",COHOES,NY,12047,42.754424,-73.700539
Albany,734310,Store,A,GREEN ISLAND MART INC,GREEN ISLAND MART,165,PAINE STREET,\"\",\"\",GREEN ISLAND,NY,12183,42.746003,-73.691984
Albany,720557,Store,JAC,"SAEED SADIQ, SAIKA NOREEN",19 STREET QUICK STOP,315,19TH STREET,\"\",\"\",WATERVLIET,NY,12189,42.73063,-73.703443
Albany,724747,Store,JAC,SUNOCO RETAIL LLC,SUNOCO #2706,1465,WASHINGTON AVE,\"\",\"\",ALBANY,NY,12203,42.690493,-73.821889
Albany,730927,Store,JAC,NAPREDAK LLC,KNOX STORE,2160,BERNE ALTAMONT RD,\"\",\"\",KNOX,NY,12107,"",""
Albany,720578,Store,A,ADIRONDACK S AND S LLC,NEWSSTAND,1,CROSSGATES MALL RD D 105,\"\",\"\",ALBANY,NY,12203,42.687038,-73.850605
Albany,724678,Store,JAC,SAUCY BOY LLC,SAUCY BOY,113,EVERETT RD,\"\",\"\",ALBANY,NY,12205,42.693853,-73.773554
Albany,734352,Store,JAC,N & M MART CORP,N & M MART,1348,CENTRAL AVENUE,\"\",\"\",ALBANY,NY,12205,42.70305,-73.816231
Albany,731013,Store,JAC,LITHIA ARMORY GARAGE LLC,ARMORY MINI MART,926,CENTRAL AVENUE,\"\",\"\",ALBANY,NY,12205,42.681304,-73.79143
Albany,724469,Store,JAC,SC OF UPSTATE NY INC,SMOKERS CHOICE,215,WESTERN AVE,\"\",\"\",ALBANY,NY,12203,42.661759,-73.776924
Albany,724461,Store,JAC,EL PILON MARKET INC,EL PILON MARKET,179,S PEARL STREET,\"\",\"\",ALBANY,NY,12202,42.644507,-73.755425
Albany,726475,Store,JAC,YEMLIHA KAYA,GULKAYA,4449,WESTERN TPKE,\"\",\"\",ALTAMONT,NY,12009,42.735034,-73.985823
Albany,732394,Store,A,WALGREEN EASTERN CO INC,RITE AID #04805,2463,US ROUTE 9W,\"\",\"\",RAVENA,NY,12143,"",""
Albany,725030,Store,A,MANI PETROLINE INC,MANI PETROLINE,213,MAIN STREET,\"\",\"\",RAVENA,NY,12143,42.46927,-73.815353
Albany,720646,Store,JAC,SPEEDWAY LLC,SPEEDWAY #07710,1358,NEW SCOTLAND RD,\"\",\"\",SLINGERLANDS,NY,12159,42.639441,-73.854274
